0.04,9.64725,9.59995,9.67822,
0.0384615,9.69636,9.71072,9.66629,
0.037037,9.65439,9.60363,9.67299,
0.0357143,9.68848,9.70444,9.66759,
0.0344828,9.65997,9.6136,9.66896,
0.0333333,9.68167,9.69915,9.66896,
0.0322581,9.66424,9.62208,9.66488,
0.03125,9.67562,9.69431,9.66849,
0.030303,9.66762,9.62913,9.66054,
0.0294118,9.67004,9.68983,9.66819,
0.0285714,9.66992,9.63497,9.65679,
0.0277778,9.66478,9.68552,9.66799,
0.027027,9.67142,9.6396,9.65409,
0.0263158,9.65981,9.6816,9.66786,
0.025641,9.67241,9.64341,9.65159,
0.025,9.65524,9.67794,9.6676,
0.0243902,9.67307,9.64676,9.64981,
0.0238095,9.65116,9.67472,9.66734,
0.0232558,9.67336,9.64962,9.64745,
0.0227273,9.64746,9.67166,9.66631,
0.0222222,9.67367,9.65195,9.64556,
0.0217391,9.6437,9.66876,9.66586,
0.0212766,9.67347,9.65377,9.64324,
0.0208333,9.64024,9.66598,9.66518,
0.0204082,9.67317,9.65522,9.64214,
0.02,9.63705,9.6633,9.66522,
0.0196078,9.67256,9.65653,9.64038,
0.0192308,9.63451,9.6609,9.66466,
0.0188679,9.67186,9.65759,9.63881,
0.0185185,9.63197,9.65858,9.6643,
0.0181818,9.67124,9.65849,9.63781,
0.0178571,9.6298,9.65659,9.66381,
0.0175439,9.67055,9.65925,9.63674,
0.0172414,9.62766,9.65452,9.66313,
0.0169492,9.66976,9.65982,9.63535,
0.0166667,9.62566,9.6527,9.66272,
0.0163934,9.66856,9.66023,9.63453,
0.016129,9.62435,9.65089,9.66279,
0.015873,9.66756,9.66051,9.63359,
0.015625,9.62317,9.64914,9.66278,
0.0153846,9.66655,9.66079,9.6328,
0.0151515,9.62282,9.64762,9.66235,
0.0149254,9.66569,9.66083,9.6323,
0.0147059,9.62418,9.64604,9.66156,
0.0144928,9.66473,9.66089,9.63095,
0.0142857,9.62723,9.64451,9.66118,
0.0140845,9.6638,9.6609,9.63013,
0.0138889,9.62993,9.6432,9.66089,
0.0136986,9.66273,9.66095,9.62977,
